"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX10121821","WGS of Methylomonas sp. EFPC1","Methylomonas sp. EFPC1","GridION","University of Michigan","SRP306889","Characterization of methanotrophs from mercury contaminated streams","SRS8276477","","3389.11","1","232890","3931448741","EFPC1_L","WGS","GENOMIC","RANDOM"
"SRX10121820","WGS of Methylomonas sp. EFPC1","Methylomonas sp. EFPC1","Illumina MiSeq","University of Michigan","SRP306889","Characterization of methanotrophs from mercury contaminated streams","SRS8276477","","299.75","1","1115269","559865038","EFPC1_S","WGS","GENOMIC","RANDOM"
"SRX9981777","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153089","","1666.2","1","19107953","3821590600","S_10","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981776","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153087","","1339.91","1","15726687","3145337400","S_09","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981775","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153088","","1081.74","1","12594188","2518837600","S_08","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981774","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153086","","1076.1","1","11253393","2250678600","S_07","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981773","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153084","","1094.08","1","12587854","2517570800","S_06","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981772","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153085","","1209.45","1","13770305","2754061000","S_05","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981771","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153083","","1382.46","1","15923140","3184628000","S_04","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981770","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153082","","1091.74","1","12841498","2568299600","S_24","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981769","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153081","","1073.1","1","12587272","2517454400","S_23","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981768","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153080","","1418.63","1","16531520","3306304000","S_22","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981767","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153079","","1040.4","1","12160873","2432174600","S_21","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981766","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153078","","1307.74","1","14937243","2987448600","S_03","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981765","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153077","","1513.65","1","17684755","3536951000","S_20","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981764","RNA-seq of Methylomicrobium album BG8: NMS, CH3OH, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153076","","1181.29","1","13616237","2723247400","S_19","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981763","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153075","","1224.82","1","14522205","2904441000","S_18","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981762","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153074","","1017.06","1","11832327","2366465400","S_17","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981761","RNA-seq of Methylomicrobium album BG8: AMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153072","","1214.89","1","14073424","2814684800","S_16","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981760","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153073","","1222.66","1","14311097","2862219400","S_15","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981759","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153071","","1259.95","1","14616579","2923315800","S_14","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981758","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/o copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153070","","1117.83","1","13043365","2608673000","S_13","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981757","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153068","","1029.85","1","12008312","2401662400","S_12","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981756","RNA-seq of Methylomicrobium album BG8: AMS, CH3OH, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153067","","1578.86","1","17886093","3577218600","S_11","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981755","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153069","","1429.86","1","16316460","3263292000","S_02","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9981754","RNA-seq of Methylomicrobium album BG8: NMS, CH4, w/ copper","Methylomicrobium album BG8","Illumina HiSeq 4000","University of Alberta","SRP303910","M. album BG8 grown in multiple nutrient conditions","SRS8153066","","1238.24","1","14226213","2845242600","S_01","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX9826264","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.26","1","31325","18823114","AGMH_a_459","POOLCLONE","METAGENOMIC","PCR"
"SRX9826263","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.06","1","36001","21645453","AGMH_a_458","POOLCLONE","METAGENOMIC","PCR"
"SRX9826262","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.09","1","37440","22494878","AGMH_a_449","POOLCLONE","METAGENOMIC","PCR"
"SRX9826261","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.08","1","29912","17902626","AGMH_a_448","POOLCLONE","METAGENOMIC","PCR"
"SRX9826260","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","6.18","1","20178","12133870","AGMH_a_457","POOLCLONE","METAGENOMIC","PCR"
"SRX9826259","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","6.31","1","21732","12969638","AGMH_a_456","POOLCLONE","METAGENOMIC","PCR"
"SRX9826258","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","5.65","1","18154","10911877","AGMH_a_455","POOLCLONE","METAGENOMIC","PCR"
"SRX9826257","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","7.06","1","24046","14461679","AGMH_a_454","POOLCLONE","METAGENOMIC","PCR"
"SRX9826256","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.46","1","30242","18171564","AGMH_a_453","POOLCLONE","METAGENOMIC","PCR"
"SRX9826255","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","14.85","1","48232","28999681","AGMH_a_494","POOLCLONE","METAGENOMIC","PCR"
"SRX9826254","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","51.99","1","169804","102068961","AGMH_a_493","POOLCLONE","METAGENOMIC","PCR"
"SRX9826253","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","41.73","1","127859","76801033","AGMH_a_492","POOLCLONE","METAGENOMIC","PCR"
"SRX9826252","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.57","1","30742","18478738","AGMH_a_491","POOLCLONE","METAGENOMIC","PCR"
"SRX9826251","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","19.14","1","60935","36610559","AGMH_a_490","POOLCLONE","METAGENOMIC","PCR"
"SRX9826250","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","15.76","1","51520","30977539","AGMH_a_489","POOLCLONE","METAGENOMIC","PCR"
"SRX9826249","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","18.86","1","62541","37045091","AGMH_a_488","POOLCLONE","METAGENOMIC","PCR"
"SRX9826248","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","10.07","1","33530","20127641","AGMH_a_452","POOLCLONE","METAGENOMIC","PCR"
"SRX9826247","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","16.6","1","53889","32244436","AGMH_a_487","POOLCLONE","METAGENOMIC","PCR"
"SRX9826246","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.41","1","30484","18261458","AGMH_a_486","POOLCLONE","METAGENOMIC","PCR"
"SRX9826245","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","18.12","1","62428","37408429","AGMH_a_485","POOLCLONE","METAGENOMIC","PCR"
"SRX9826244","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","26.52","1","90420","54170094","AGMH_a_484","POOLCLONE","METAGENOMIC","PCR"
"SRX9826243","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","12.09","1","40855","24481946","AGMH_a_483","POOLCLONE","METAGENOMIC","PCR"
"SRX9826242","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.53","1","32371","19393104","AGMH_a_482","POOLCLONE","METAGENOMIC","PCR"
"SRX9826241","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","8.16","1","28191","16901395","AGMH_a_481","POOLCLONE","METAGENOMIC","PCR"
"SRX9826240","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","12.57","1","42923","25645202","AGMH_a_480","POOLCLONE","METAGENOMIC","PCR"
"SRX9826239","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","14.12","1","48520","29089973","AGMH_a_479","POOLCLONE","METAGENOMIC","PCR"
"SRX9826238","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.52","1","39510","23674257","AGMH_a_478","POOLCLONE","METAGENOMIC","PCR"
"SRX9826237","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","21.08","1","72059","43258288","AGMH_a_451","POOLCLONE","METAGENOMIC","PCR"
"SRX9826236","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","9.58","1","33166","19886409","AGMH_a_477","POOLCLONE","METAGENOMIC","PCR"
"SRX9826235","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","17.68","1","59895","35953862","AGMH_a_476","POOLCLONE","METAGENOMIC","PCR"
